,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
2853,10/18/05,CBOT Holdings ,BOT,Credit Suisse First Boston/JP Morgan,54.0,80.75,80.3,0.487037037037037
2860,10/26/05,Hercules Offshore ,HERO,Credit Suisse First Boston,20.0,23.5,21.9,0.09499999999999993
2866,11/1/05,Newkirk Realty Trust ,NKT,Bear Stearns/Credit Suisse First Boston,16.0,15.45,15.05,-0.059374999999999956
2877,11/16/05,SunPower ,SPWR,Credit Suisse First Boston/Lehman Brothers,18.0,28.0,25.45,0.41388888888888886
2884,11/29/05,Actions Semiconductor ,ACTS,Credit Suisse First Boston,8.0,7.9,8.0,0.0
2888,12/9/05,Basic Energy Services ,BAS,Goldman Sachs/Credit Suisse First Boston,20.0,22.0,21.5,0.075
2893,12/13/05,Suntech Power Holdings ,STP,Credit Suisse First Boston/Morgan Stanley,15.0,20.35,21.2,0.4133333333333333
2901,12/15/05,Spansion ,SPSN,Citigroup/Credit Suisse First Boston,12.0,12.0,13.55,0.12916666666666674
2921,2/5/04,Symbion ,SMBI,Credit Suisse First Boston,15.0,18.0,18.63,0.24199999999999994
2924,2/11/04,Bristol West Holdings ,BRW,Credit Suisse First Boston/Bear Stearns,20.0,22.75,22.8,0.14000000000000004
2926,2/11/04,Corgentech ,CGTK,Credit Suisse First Boston/Lehman Brothers,16.0,18.0,21.4,0.3374999999999999
2929,2/19/04,Cherokee International,CHRK,Credit Suisse First Boston,14.5,16.75,16.5,0.13793103448275862
2931,3/3/04,Linktone,LTON,Credit Suisse First Boston,14.0,19.01,17.42,0.2442857142857144
2936,3/17/04,Semiconductor Mfg Int'l,SMI,Credit Suisse First Boston/Deutsche Bank,17.5,17.0,15.52,-0.11314285714285717
2941,3/24/04,Ultra Clean Holdings ,UCTT,Credit Suisse First Boston/JP Morgan,7.0,7.01,7.5,0.07142857142857142
2954,4/21/04,SiRF Technology Holdings ,SIRF,Morgan Stanley/Credit Suisse First Boston,12.0,14.45,15.3,0.2750000000000001
2978,6/9/04,CB Richard Ellis Group ,CBG,Credit Suisse First Boston/Citigroup,19.0,19.0,18.35,-0.0342105263157894
2984,6/17/04,Blackboard ,BBBB,Credit Suisse First Boston,14.0,15.8,20.01,0.4292857142857144
2994,6/23/04,Xyratex ,XRTX,Credit Suisse First Boston/Citigroup,14.0,14.0,13.95,-0.003571428571428622
2997,6/24/04,Cabela's ,CAB,Credit Suisse First Boston,20.0,27.95,26.0,0.3
